transaction_id,profile_id,date_of_booking,date_of_service_requested,source,slot of booking (hour of the day)
YNUUF,4947,7/23/2018,7/28/2018,B,13
UMBVD,4948,3/11/2018,3/11/2018,B,18
ZMIQZ,4948,7/16/2018,7/17/2018,C,13
EFUYU,4949,12/3/2017,12/5/2017,C,15
MCRQJ,4950,1/2/2018,1/2/2018,D,14
BQNQN,4951,10/5/2018,10/5/2018,B,10
UNFSU,4952,12/19/2017,12/24/2017,D,10
EDRVY,4952,11/9/2018,11/10/2018,D,8
ARCJF,4953,2/3/2018,2/7/2018,C,10
FKHTE,4954,5/9/2018,5/14/2018,B,12
BTXXU,4954,9/2/2018,9/4/2018,C,17
CJTWA,4954,11/4/2018,11/4/2018,B,9
XFAZZ,4955,4/2/2018,4/2/2018,A,19
JYRBK,4956,3/14/2018,3/17/2018,C,14
UKZWS,4957,6/2/2018,6/4/2018,A,13
IQGIR,4958,5/2/2018,5/2/2018,C,14
AUFRX,4958,5/7/2018,5/7/2018,D,11
BKKPT,4959,6/18/2018,6/20/2018,D,6
CRMRA,4959,11/26/2018,11/30/2018,C,18
VCBMY,4959,11/27/2018,12/2/2018,D,9
LMZMF,4960,6/3/2018,6/7/2018,B,14
MFGYW,4961,7/27/2018,7/31/2018,A,14
GASRQ,4962,7/10/2018,7/15/2018,C,14
QANTM,4963,1/26/2018,1/31/2018,C,17
OJMSR,4963,2/12/2018,2/17/2018,D,14
AHUGV,4963,3/15/2018,3/17/2018,D,6
MKHMR,4963,6/16/2018,6/20/2018,A,14
KKDHA,4963,10/7/2018,10/7/2018,C,14
TKYPW,4963,10/31/2018,11/5/2018,D,19
XFWQP,4963,11/1/2018,11/2/2018,B,6
LLUMK,4964,8/13/2018,8/16/2018,B,14
UPTQV,4965,10/29/2018,10/29/2018,D,9
TZDKW,4966,7/18/2018,7/20/2018,D,13
TFGSB,4967,9/30/2018,10/4/2018,D,14
CNXZX,4968,11/16/2018,11/17/2018,C,19
SECLD,4969,12/10/2017,12/14/2017,D,14
PHDYX,4969,12/12/2017,12/15/2017,D,14
QOJFO,4969,4/10/2018,4/15/2018,B,19
CAULI,4969,9/19/2018,9/24/2018,C,6
TVSFQ,4969,11/21/2018,11/22/2018,B,11
ASBDI,4970,12/16/2017,12/21/2017,D,6
TCDGA,4970,5/12/2018,5/15/2018,C,11
ZXUOS,4971,4/7/2018,4/7/2018,C,13
ENBOQ,4972,12/9/2017,12/10/2017,C,17
KUXKG,4972,8/13/2018,8/14/2018,D,14
CWSXD,4973,9/13/2018,9/18/2018,C,13
SDVPS,4974,4/2/2018,4/7/2018,C,17
REMGX,4975,1/16/2018,1/19/2018,D,18
DIKON,4976,2/8/2018,2/12/2018,C,7
DHMNK,4977,3/17/2018,3/19/2018,C,14
OSCAM,4978,3/1/2018,3/4/2018,C,14
WYAGH,4979,12/30/2017,1/1/2018,A,14
TSCVZ,4980,3/27/2018,4/1/2018,B,12
LWKYM,4980,7/15/2018,7/19/2018,D,14
KSGJA,4980,8/23/2018,8/26/2018,A,14
WVTOS,4981,3/27/2018,3/28/2018,C,11
DKMVS,4982,12/28/2017,12/30/2017,B,16
OQVRO,4982,2/3/2018,2/6/2018,B,14
RHBCS,4982,3/25/2018,3/26/2018,A,8
ATGCC,4982,4/25/2018,4/25/2018,C,9
FUEJA,4982,5/13/2018,5/14/2018,C,8
WUUJE,4982,8/25/2018,8/27/2018,C,17
BNGTJ,4982,10/11/2018,10/15/2018,B,10
DNTJN,4983,6/28/2018,6/29/2018,B,18
NGWGA,4983,7/20/2018,7/24/2018,C,14
KPQWQ,4983,10/30/2018,11/4/2018,B,14
WNBNB,4984,11/26/2018,11/27/2018,A,18
XEOGK,4985,10/21/2018,10/24/2018,B,11
TAYBK,4986,2/19/2018,2/19/2018,A,15
VSGZC,4986,10/28/2018,10/28/2018,A,12
BMGNH,4987,4/15/2018,4/17/2018,C,14
KXRLZ,4988,10/21/2018,10/21/2018,D,14
AUXVI,4989,1/18/2018,1/22/2018,B,18
PUJYY,4990,4/10/2018,4/13/2018,B,14
TEHVS,4991,8/22/2018,8/24/2018,D,12
VYFAM,4992,1/25/2018,1/30/2018,B,16
SMPYJ,4992,8/9/2018,8/9/2018,A,12
FRLKT,4992,8/12/2018,8/13/2018,D,19
AGLMY,4992,9/4/2018,9/7/2018,C,12
APCLW,4992,11/2/2018,11/2/2018,C,18
SHBGY,4993,5/15/2018,5/18/2018,B,10
LTYJP,4994,10/21/2018,10/26/2018,C,14
PTRTE,4995,8/17/2018,8/21/2018,B,12
ZRXRA,4996,11/14/2018,11/16/2018,D,13
DABGH,4997,7/20/2018,7/21/2018,C,6
KRLRD,4998,3/24/2018,3/26/2018,A,14
UNKLE,4999,12/17/2017,12/20/2017,B,7
FFZQC,4999,4/28/2018,5/3/2018,B,7
YADRE,5000,3/10/2018,3/15/2018,A,13
WXEZA,5001,6/7/2018,6/10/2018,B,14
XQZGF,5002,3/17/2018,3/21/2018,B,13
HQTLF,5003,12/24/2017,12/26/2017,C,9
EFQPU,5004,11/15/2018,11/19/2018,C,14
DRJEZ,5005,1/25/2018,1/25/2018,D,19
KESBO,5006,8/22/2018,8/24/2018,C,14
JCYIU,5007,10/2/2018,10/3/2018,A,14
ERVUW,5008,12/25/2017,12/28/2017,D,17
EEFTU,5008,3/2/2018,3/6/2018,C,19
PJNKY,5009,8/16/2018,8/21/2018,D,14
XNZUJ,5010,4/9/2018,4/10/2018,B,16
TWDNC,5010,11/1/2018,11/2/2018,D,7
AOCWE,5011,8/29/2018,8/29/2018,D,13
MXGIZ,5012,6/6/2018,6/6/2018,D,14
PFKYV,5013,6/1/2018,6/4/2018,A,14
HRMBJ,5014,2/6/2018,2/10/2018,B,14
YPVVJ,5015,12/2/2017,12/4/2017,B,13
VELMD,5016,1/31/2018,2/1/2018,B,9
YKLOM,5017,11/20/2018,11/23/2018,C,13
FCFGB,5018,2/17/2018,2/17/2018,D,10
CAABP,5018,11/1/2018,11/2/2018,C,17
HSNBF,5019,1/1/2018,1/1/2018,C,13
GKBGC,5020,12/10/2017,12/13/2017,B,14
LTPPL,5020,1/31/2018,2/4/2018,B,14
KGWEL,5020,4/8/2018,4/8/2018,D,14
XSMUB,5020,8/24/2018,8/24/2018,A,13
BQCCA,5021,9/11/2018,9/15/2018,C,10
KMNEF,5022,5/3/2018,5/5/2018,C,14
QTWBE,5023,12/26/2017,12/31/2017,D,12
CEWNO,5023,3/9/2018,3/12/2018,B,12
ZFXAF,5023,3/20/2018,3/20/2018,B,13
IFJSA,5023,10/5/2018,10/6/2018,B,13
QRZOH,5023,10/21/2018,10/22/2018,B,13
WDGOU,5024,6/27/2018,6/27/2018,A,9
NNMDG,5025,12/4/2017,12/9/2017,D,14
AJRNR,5025,10/23/2018,10/26/2018,C,12
JIUMG,5026,11/24/2018,11/25/2018,D,14
LMBKP,5027,12/1/2017,12/3/2017,B,14
WLXBE,5028,3/6/2018,3/9/2018,D,12
UNMLN,5028,5/19/2018,5/19/2018,A,18
SCPLO,5028,6/10/2018,6/13/2018,C,12
ALGCZ,5028,7/11/2018,7/14/2018,D,17
JJCZG,5028,7/17/2018,7/20/2018,C,14
ANUIY,5028,10/8/2018,10/8/2018,A,19
OBQXS,5028,11/4/2018,11/6/2018,B,14
KWRSD,5029,3/9/2018,3/11/2018,C,14
JFSSL,5029,3/22/2018,3/26/2018,D,14
AZKGU,5030,1/30/2018,2/4/2018,C,11
FBQPC,5031,1/9/2018,1/10/2018,C,8
QIPMN,5032,9/10/2018,9/14/2018,C,9
JBFCT,5032,11/9/2018,11/10/2018,C,14
LLGGO,5033,2/6/2018,2/6/2018,B,14
FZWQQ,5033,11/25/2018,11/28/2018,B,18
MJLAD,5034,8/6/2018,8/9/2018,C,14
YRWUB,5035,5/20/2018,5/22/2018,B,13
WQLWT,5036,9/11/2018,9/16/2018,A,15
KKYEH,5037,5/16/2018,5/17/2018,B,14
APXQN,5038,12/17/2017,12/18/2017,B,6
ENGLR,5038,6/8/2018,6/11/2018,D,17
PMPCQ,5038,6/13/2018,6/13/2018,C,14
YJTFT,5038,6/16/2018,6/20/2018,A,13
DQUYZ,5038,6/25/2018,6/27/2018,C,11
VSDJM,5038,7/21/2018,7/24/2018,D,6
UAPVC,5038,8/1/2018,8/2/2018,D,14
ADPEW,5038,8/30/2018,9/1/2018,B,8
JJVMP,5038,9/7/2018,9/8/2018,B,14
VYZGQ,5038,9/16/2018,9/17/2018,B,9
FATNR,5038,9/30/2018,10/2/2018,C,10
UIWJP,5038,10/14/2018,10/15/2018,B,18
KAYKN,5038,10/22/2018,10/23/2018,C,14
LXUHW,5038,11/19/2018,11/23/2018,A,14
FQBIC,5039,1/24/2018,1/28/2018,D,15
JBSPW,5039,3/20/2018,3/23/2018,C,14
JELYA,5040,7/18/2018,7/19/2018,D,14
HRTCP,5040,8/9/2018,8/13/2018,B,19
PGNDA,5041,9/10/2018,9/13/2018,A,14
QOMUY,5042,7/3/2018,7/3/2018,B,18
WUWOV,5043,12/9/2017,12/14/2017,A,7
BQAUM,5043,4/8/2018,4/12/2018,D,6
XJNWE,5043,7/30/2018,8/4/2018,B,8
ADAGC,5044,3/13/2018,3/14/2018,B,11
WYJKM,5044,8/4/2018,8/9/2018,C,11
JNLIA,5044,8/21/2018,8/22/2018,B,14
QQIYQ,5045,2/18/2018,2/18/2018,C,14
VQYIQ,5046,4/16/2018,4/21/2018,D,8
XJJVP,5047,5/8/2018,5/8/2018,B,8
HINXD,5048,2/20/2018,2/21/2018,C,18
MRNHF,5049,12/23/2017,12/26/2017,B,14
LWMXF,5050,12/31/2017,1/3/2018,D,14
AZKFF,5051,9/28/2018,9/30/2018,C,10
SKTKA,5052,4/27/2018,4/27/2018,B,11
CBBRJ,5052,6/22/2018,6/22/2018,D,6
YXVAP,5052,7/3/2018,7/8/2018,A,13
OSWUE,5052,8/12/2018,8/13/2018,B,14
KFEVB,5052,9/7/2018,9/11/2018,C,14
WRENL,5052,10/13/2018,10/18/2018,B,9
WLWOM,5052,10/20/2018,10/21/2018,C,17
FBURQ,5052,10/30/2018,11/4/2018,B,18
CIGAH,5052,11/14/2018,11/16/2018,C,9
ZEWZS,5052,11/24/2018,11/29/2018,D,13
CCQNQ,5053,7/27/2018,8/1/2018,C,8
LNEXV,5053,11/6/2018,11/9/2018,A,14
ZXUMB,5054,5/31/2018,6/3/2018,D,13
XILGF,5055,5/7/2018,5/7/2018,C,16
IQFQF,5056,3/1/2018,3/2/2018,C,14
GWUII,5057,9/7/2018,9/11/2018,C,19
YGSWW,5058,5/21/2018,5/21/2018,A,13
PFIHG,5059,5/15/2018,5/19/2018,C,14
LSNJL,5060,3/13/2018,3/14/2018,D,14
XBXYN,5060,5/6/2018,5/11/2018,A,10
GFSEC,5060,8/15/2018,8/19/2018,B,6
RLSMD,5060,8/29/2018,9/1/2018,D,14
QTMCN,5061,2/25/2018,2/25/2018,D,15
RGMKI,5062,7/17/2018,7/22/2018,C,16
EXQLX,5063,1/27/2018,1/30/2018,B,6
WSUEL,5064,12/14/2017,12/15/2017,A,18
HKOFZ,5065,12/1/2017,12/5/2017,B,13
FSGZR,5065,12/18/2017,12/23/2017,D,17
AJNGQ,5065,12/22/2017,12/24/2017,A,7
BMNHP,5065,12/25/2017,12/25/2017,C,8
IYYEV,5065,3/27/2018,3/31/2018,C,14
FDMYJ,5065,4/6/2018,4/8/2018,C,18
QZYJX,5065,7/28/2018,8/2/2018,C,13
IKBHF,5065,10/27/2018,11/1/2018,C,14
JECFP,5065,11/4/2018,11/6/2018,C,14
AEKCF,5066,12/21/2017,12/23/2017,B,14
RVRCJ,5067,12/29/2017,1/3/2018,B,8
GTNAV,5068,12/27/2017,12/28/2017,B,14
SRPKE,5068,4/3/2018,4/4/2018,D,12
YJPLR,5068,7/6/2018,7/7/2018,B,13
TOJKT,5068,9/16/2018,9/16/2018,C,9
LBXBV,5068,9/19/2018,9/21/2018,D,14
TXPVM,5068,9/30/2018,9/30/2018,B,16
RGHBV,5068,10/5/2018,10/5/2018,B,6
DMRMK,5068,10/13/2018,10/14/2018,C,10
EFRQN,5068,10/30/2018,10/31/2018,C,12
CVNVM,5068,11/12/2018,11/12/2018,B,14
RDFRH,5069,1/8/2018,1/13/2018,D,19
MHVFE,5069,1/20/2018,1/22/2018,B,14
WZSHL,5070,7/4/2018,7/5/2018,C,6
HOEFK,5070,10/2/2018,10/3/2018,C,6
SSMSZ,5071,12/11/2017,12/16/2017,A,7
KKKYX,5071,4/13/2018,4/17/2018,D,14
AUDND,5071,7/28/2018,7/30/2018,C,12
SCFRR,5071,10/26/2018,10/28/2018,A,9
HMWRU,5072,5/21/2018,5/24/2018,C,12
MBBAM,5073,8/29/2018,9/1/2018,D,14
ITKRC,5074,9/16/2018,9/21/2018,C,14
XJUCG,5075,3/3/2018,3/7/2018,A,16
UYZWR,5076,7/24/2018,7/28/2018,B,13
YPKJM,5077,1/12/2018,1/13/2018,B,13
XNPCQ,5077,3/9/2018,3/14/2018,B,16
EYNQR,5078,4/13/2018,4/16/2018,D,15
HJRFX,5079,7/26/2018,7/26/2018,B,18
JFTHW,5080,2/20/2018,2/25/2018,D,14
YFMKI,5081,7/28/2018,7/30/2018,A,13
UWDRS,5082,6/27/2018,6/28/2018,B,18
BCDED,5083,2/9/2018,2/13/2018,C,8
ZLGAN,5084,2/4/2018,2/9/2018,A,13
KHZFP,5085,8/28/2018,8/31/2018,C,14
STEJZ,5086,9/1/2018,9/3/2018,A,19
UGXKU,5087,12/3/2017,12/5/2017,C,14
AGIMJ,5087,12/11/2017,12/13/2017,B,8
UEZWC,5087,12/25/2017,12/25/2017,C,12
ITDCZ,5087,1/4/2018,1/4/2018,C,14
ZQULT,5087,1/6/2018,1/6/2018,B,13
UVBZZ,5087,2/22/2018,2/24/2018,C,11
IQZDC,5087,3/13/2018,3/15/2018,C,14
XEQAM,5087,4/7/2018,4/10/2018,B,9
RQUXO,5087,5/4/2018,5/6/2018,C,14
IZCWB,5087,6/3/2018,6/6/2018,C,14
SSLJM,5087,6/8/2018,6/8/2018,D,19
DTKKW,5087,6/11/2018,6/13/2018,B,19
NSNUC,5087,6/22/2018,6/27/2018,A,14
SRSUE,5087,7/6/2018,7/11/2018,D,17
PTZZE,5087,8/6/2018,8/10/2018,A,18
OYRME,5087,8/15/2018,8/20/2018,C,14
DSEGO,5087,9/12/2018,9/16/2018,C,17
ZMLOE,5087,9/19/2018,9/23/2018,C,13
UCSCN,5087,10/8/2018,10/11/2018,C,13
JVWFU,5087,10/21/2018,10/22/2018,B,14
BEWLG,5087,11/20/2018,11/20/2018,C,11
NBTES,5087,11/24/2018,11/26/2018,C,14
VBXHH,5088,5/15/2018,5/20/2018,D,18
QMZBX,5088,9/2/2018,9/6/2018,A,7
KDKTX,5089,8/23/2018,8/26/2018,D,14
ERSTE,5090,5/6/2018,5/8/2018,C,14
MMAYE,5090,10/20/2018,10/25/2018,C,14
VQEYC,5091,12/24/2017,12/24/2017,D,18
DHQZH,5091,1/4/2018,1/6/2018,D,14
ORAFG,5092,7/19/2018,7/21/2018,D,14
EBFVJ,5093,5/1/2018,5/1/2018,C,7
MGOLN,5094,11/7/2018,11/9/2018,B,14
ZQOPP,5095,7/6/2018,7/6/2018,A,13
CNOVD,5096,12/2/2017,12/7/2017,C,11
VFHEP,5096,1/24/2018,1/27/2018,C,19
AMHSQ,5096,2/23/2018,2/28/2018,B,13
HHUJI,5096,3/20/2018,3/25/2018,B,14
TPHCW,5096,4/19/2018,4/21/2018,C,12
DEUDG,5096,8/4/2018,8/4/2018,C,11
VZFBY,5096,8/30/2018,9/4/2018,B,15
HFRNU,5096,9/3/2018,9/6/2018,C,16
WHBVP,5096,9/9/2018,9/13/2018,B,6
VULBE,5096,10/10/2018,10/10/2018,A,14
OOFWJ,5096,10/19/2018,10/19/2018,D,14
SVPQD,5097,1/22/2018,1/22/2018,A,15
QWWMZ,5097,4/13/2018,4/17/2018,C,14
FJDIT,5097,7/21/2018,7/23/2018,C,6
MFJPQ,5097,9/7/2018,9/10/2018,D,14
XAIHB,5097,9/21/2018,9/26/2018,D,8
HOEQA,5098,5/31/2018,6/1/2018,C,14
RYLFZ,5099,7/25/2018,7/27/2018,B,7
KCBKS,5100,1/31/2018,2/1/2018,D,14
CMXUY,5100,4/12/2018,4/14/2018,C,15
CRMBG,5100,6/17/2018,6/17/2018,D,15
TUBJZ,5100,8/25/2018,8/26/2018,C,13
ZTIDL,5100,9/5/2018,9/5/2018,D,13
LYOGC,5101,9/2/2018,9/7/2018,C,14
RGSJN,5102,10/11/2018,10/12/2018,A,14
PZODE,5103,1/29/2018,2/2/2018,B,18
RQKXP,5103,2/9/2018,2/9/2018,A,19
VZHYD,5104,6/5/2018,6/10/2018,D,19
KTFYJ,5105,2/17/2018,2/20/2018,B,14
FEJOS,5106,12/9/2017,12/9/2017,C,18
TLKZB,5106,12/21/2017,12/22/2017,A,14
PKBEP,5106,2/19/2018,2/20/2018,A,14
FWICH,5107,1/31/2018,2/3/2018,C,8
JXGPE,5108,12/25/2017,12/25/2017,B,14
YTPZY,5109,2/1/2018,2/4/2018,A,13
AQASY,5110,11/2/2018,11/6/2018,A,9
OMWAC,5111,1/30/2018,1/30/2018,A,14
FPLHH,5112,6/9/2018,6/11/2018,C,19
SLCIJ,5113,1/1/2018,1/4/2018,D,13
RKBRG,5113,1/14/2018,1/19/2018,D,14
VNBRE,5113,2/15/2018,2/18/2018,A,14
ESWGD,5113,4/24/2018,4/28/2018,D,12
NFHBN,5113,5/6/2018,5/8/2018,A,14
HOHIT,5114,12/5/2017,12/9/2017,C,10
JZSSZ,5115,1/20/2018,1/20/2018,C,14
KPHYV,5116,7/22/2018,7/26/2018,C,14
KDZDX,5117,3/12/2018,3/16/2018,D,14
XISPA,5118,3/17/2018,3/17/2018,C,17
YPWNW,5119,12/2/2017,12/5/2017,B,13
HIJBN,5119,10/26/2018,10/30/2018,D,19
MPETL,5120,12/9/2017,12/10/2017,A,14
UKRJV,5120,7/12/2018,7/13/2018,D,13
HDBES,5120,9/11/2018,9/12/2018,D,9
JZWRL,5121,3/12/2018,3/13/2018,C,14
YJFCF,5122,5/20/2018,5/23/2018,B,13
KBHVN,5123,3/20/2018,3/25/2018,C,14
LHUPR,5123,6/12/2018,6/16/2018,B,14
AODJR,5123,11/6/2018,11/6/2018,D,19
YJSDY,5124,5/8/2018,5/11/2018,A,13
CKCNZ,5125,3/23/2018,3/26/2018,C,15
NRNYX,5126,12/23/2017,12/27/2017,A,14
FNOMG,5127,2/21/2018,2/21/2018,B,10
HHXAI,5128,12/1/2017,12/1/2017,C,19
QZUVJ,5128,12/16/2017,12/20/2017,A,13
SWLBP,5128,5/1/2018,5/3/2018,D,19
CRJWD,5128,5/11/2018,5/16/2018,C,12
LDXCT,5128,6/12/2018,6/12/2018,C,14
RUWEL,5128,10/26/2018,10/26/2018,A,10
QQESG,5128,11/18/2018,11/22/2018,C,18
PRAQS,5129,9/13/2018,9/14/2018,A,15
OTEYJ,5130,4/29/2018,4/30/2018,C,14
GWEDU,5131,12/4/2017,12/9/2017,B,11
YRQZV,5131,12/10/2017,12/14/2017,A,13
DXCNB,5131,12/10/2017,12/13/2017,C,15
MZMIB,5131,1/9/2018,1/12/2018,B,14
ZJZHQ,5131,6/18/2018,6/22/2018,C,13
UZBWP,5131,7/4/2018,7/5/2018,C,13
UZKOO,5131,9/14/2018,9/18/2018,D,18
VFDRP,5131,9/23/2018,9/27/2018,C,17
OSQSD,5131,10/13/2018,10/18/2018,A,14
ZWVXS,5131,10/28/2018,10/30/2018,C,13
YUKYB,5131,11/4/2018,11/5/2018,A,13
IUBHI,5132,12/16/2017,12/16/2017,B,14
BXRSL,5133,8/22/2018,8/22/2018,C,17
PDGCU,5134,8/17/2018,8/19/2018,C,14
PIXXE,5135,1/18/2018,1/20/2018,B,14
QKTKW,5135,11/2/2018,11/7/2018,D,7
QBBNC,5136,1/11/2018,1/11/2018,D,16
OGGEF,5136,2/17/2018,2/18/2018,C,14
OGTBL,5136,2/25/2018,2/26/2018,A,14
FMDFT,5136,3/29/2018,4/2/2018,D,13
VVKTU,5136,5/27/2018,5/29/2018,A,16
HRWLM,5136,6/7/2018,6/9/2018,B,16
SZKRK,5136,6/8/2018,6/8/2018,C,18
TDRWG,5136,7/4/2018,7/4/2018,A,7
ROSCC,5136,7/10/2018,7/10/2018,B,11
TQQEL,5136,8/28/2018,8/28/2018,C,16
UEPDB,5136,9/18/2018,9/22/2018,D,7
ZKLIK,5136,10/2/2018,10/7/2018,B,13
YSWEP,5136,10/2/2018,10/4/2018,D,13
GIVPM,5136,11/11/2018,11/13/2018,D,9
ATSHA,5137,2/9/2018,2/14/2018,C,11
EINFF,5138,4/20/2018,4/23/2018,B,9
HSZSD,5139,12/4/2017,12/6/2017,C,14
VESKG,5140,1/19/2018,1/23/2018,D,8
WDEBN,5140,5/10/2018,5/14/2018,D,10
XOENR,5140,10/15/2018,10/17/2018,C,17
CBUBW,5140,10/22/2018,10/22/2018,C,8
AVDVB,5141,9/5/2018,9/5/2018,C,8
CRLJA,5142,12/28/2017,1/2/2018,C,14
JOAXB,5143,9/24/2018,9/27/2018,C,14
DQUBT,5143,11/5/2018,11/8/2018,B,19
SANMN,5144,12/2/2017,12/4/2017,C,12
SJMAA,5144,12/26/2017,12/31/2017,D,13
LNUHI,5144,1/21/2018,1/23/2018,D,14
KGLCS,5144,1/25/2018,1/30/2018,C,14
ODFMK,5144,3/4/2018,3/6/2018,A,14
MJPMV,5144,3/14/2018,3/19/2018,B,14
ZXRGA,5144,5/17/2018,5/21/2018,D,13
RHAFB,5144,10/20/2018,10/21/2018,B,19
EMHOF,5145,4/24/2018,4/26/2018,C,17
AUTUF,5146,4/18/2018,4/21/2018,D,8
FNBJT,5147,11/20/2018,11/23/2018,C,6
CQCVG,5148,12/12/2017,12/17/2017,D,6
BQSKJ,5149,9/5/2018,9/5/2018,C,14
FULRG,5150,9/11/2018,9/13/2018,D,7
WNEPP,5151,9/4/2018,9/7/2018,A,14
LKTOZ,5152,6/12/2018,6/16/2018,C,14
DPRQL,5153,9/13/2018,9/15/2018,B,17
CMNKA,5154,12/12/2017,12/16/2017,B,17
KLNPU,5154,12/14/2017,12/18/2017,D,14
DBOLK,5155,11/9/2018,11/9/2018,C,6
DAARB,5156,10/9/2018,10/14/2018,C,13
MIOWF,5157,10/3/2018,10/6/2018,D,14
RXATX,5158,5/15/2018,5/15/2018,C,19
MDWDT,5158,9/1/2018,9/6/2018,B,14
WXXVM,5158,10/8/2018,10/11/2018,D,14
AZHYH,5159,4/22/2018,4/23/2018,C,6
YVKLX,5160,3/3/2018,3/8/2018,C,13
GSYDE,5161,3/19/2018,3/24/2018,C,19
JNGGK,5162,1/12/2018,1/14/2018,C,14
ZXUHL,5163,6/7/2018,6/10/2018,D,13
GTVNG,5164,2/23/2018,2/28/2018,D,17
HUPLH,5165,2/1/2018,2/5/2018,C,12
VTLKL,5165,9/6/2018,9/7/2018,D,7
ZKCUF,5166,6/13/2018,6/18/2018,D,13
SCQKT,5167,7/16/2018,7/16/2018,D,14
EYLIB,5168,6/15/2018,6/19/2018,C,7
UAJKH,5169,5/29/2018,5/29/2018,D,18
JWCCL,5170,5/13/2018,5/17/2018,C,14
ZEKTX,5171,4/24/2018,4/28/2018,A,13
ZEDZD,5172,10/22/2018,10/25/2018,A,13
ADMQH,5173,11/10/2018,11/14/2018,C,19
GWACY,5174,2/12/2018,2/13/2018,A,10
BMPVZ,5174,5/27/2018,5/30/2018,C,8
ASHBD,5175,7/28/2018,7/30/2018,B,13
QUPYS,5176,8/17/2018,8/19/2018,C,14
WITOC,5177,5/31/2018,6/3/2018,C,15
FDODJ,5177,6/16/2018,6/21/2018,C,12
YTBAZ,5177,9/21/2018,9/24/2018,C,13
EZYKT,5177,10/6/2018,10/6/2018,B,16
AIKGG,5178,7/23/2018,7/25/2018,D,8
CKAAO,5179,10/23/2018,10/24/2018,C,14
MQRSK,5179,11/1/2018,11/1/2018,D,14
CHGJL,5180,12/30/2017,12/31/2017,D,9
OANDE,5180,6/11/2018,6/13/2018,C,14
LGHTP,5181,4/5/2018,4/9/2018,C,14
PWYJP,5182,5/3/2018,5/6/2018,A,10
PDXSK,5182,11/8/2018,11/8/2018,D,14
HDUFZ,5183,1/11/2018,1/14/2018,C,18
JQQYU,5184,10/17/2018,10/19/2018,B,14
BRJUP,5185,2/28/2018,3/5/2018,B,18
TNEKL,5186,12/5/2017,12/8/2017,D,9
VTFPN,5187,3/27/2018,3/30/2018,D,14
EVPUZ,5188,1/8/2018,1/11/2018,C,13
JCIMZ,5189,7/28/2018,7/31/2018,D,14
NEOLE,5190,11/3/2018,11/3/2018,A,14
DBWHE,5191,4/15/2018,4/19/2018,C,16
FPXVL,5191,5/16/2018,5/20/2018,C,16
ZKXQE,5192,2/6/2018,2/7/2018,D,13
QBKBG,5193,12/17/2017,12/20/2017,D,6
JZFTG,5193,1/25/2018,1/27/2018,B,14
ISACL,5193,4/28/2018,4/30/2018,C,14
WPCBE,5193,6/2/2018,6/2/2018,D,17
CQRDU,5193,9/30/2018,10/5/2018,C,6
OLCKF,5193,11/27/2018,12/2/2018,D,14
AZHIQ,5193,11/29/2018,11/29/2018,C,11
VDYIN,5194,12/14/2017,12/18/2017,D,13
UEEVY,5194,1/11/2018,1/14/2018,B,6
PXCCZ,5194,1/17/2018,1/20/2018,D,11
POEAM,5194,3/31/2018,4/1/2018,D,17
EURKH,5194,6/18/2018,6/20/2018,C,16
GZMCU,5194,7/7/2018,7/11/2018,C,17
RPHJL,5194,9/30/2018,10/1/2018,D,13
HBHXE,5194,11/11/2018,11/12/2018,A,17
FRTJE,5194,11/27/2018,11/29/2018,D,8
BOUVX,5195,2/9/2018,2/11/2018,B,11
CVLXB,5195,3/15/2018,3/20/2018,C,16
FPSJF,5195,5/6/2018,5/8/2018,C,8
ILQTT,5195,7/17/2018,7/21/2018,D,14
HSAIU,5195,7/23/2018,7/25/2018,C,9
UCCSN,5195,8/5/2018,8/10/2018,B,13
BZBGQ,5196,1/29/2018,2/1/2018,B,18
XLKUH,5196,2/18/2018,2/21/2018,B,10
RRVZJ,5196,5/3/2018,5/3/2018,C,8
JIFGK,5196,5/19/2018,5/22/2018,C,14
CTSID,5197,3/8/2018,3/8/2018,C,12
GGAWH,5198,6/23/2018,6/26/2018,C,10
BDWBO,5199,1/2/2018,1/5/2018,B,9
DLUDX,5199,2/28/2018,3/3/2018,C,8
WHTBT,5199,3/2/2018,3/5/2018,C,18
MBLLP,5199,4/20/2018,4/22/2018,D,14
YMZEK,5199,7/11/2018,7/13/2018,D,13
UQKOU,5199,7/17/2018,7/21/2018,C,18
GLQFS,5199,8/16/2018,8/17/2018,B,15
XNWWN,5199,10/14/2018,10/19/2018,C,8
QJPAW,5199,11/13/2018,11/17/2018,B,11
SGMLL,5200,10/17/2018,10/22/2018,A,17
GBKKN,5201,12/2/2017,12/3/2017,B,9
RNPCO,5201,12/25/2017,12/30/2017,D,14
LLPZN,5202,8/2/2018,8/4/2018,C,14
ECRRW,5203,5/3/2018,5/3/2018,C,17
FYCWK,5204,3/16/2018,3/17/2018,D,12
RQXMC,5204,4/21/2018,4/24/2018,C,13
QBFEP,5204,6/22/2018,6/24/2018,A,7
SLSIK,5205,3/12/2018,3/12/2018,A,15
TRZAR,5206,3/23/2018,3/26/2018,A,13
CLICG,5206,3/24/2018,3/29/2018,C,16
CNTZR,5207,2/13/2018,2/18/2018,B,19
EYQTF,5208,4/15/2018,4/17/2018,C,11
CBHVL,5209,5/25/2018,5/30/2018,D,12
PILVX,5210,10/17/2018,10/19/2018,A,14
